attack_name,source_level,resistance_score,resist_0,resist_25,resist_50,resist_75,misses,hits,analysis
Fireball,18,0,42,0,0,0,340,42,"Hits: 10.99%, [ 8.24%, 14.53%], 42 / 382 attacks; Misses: 89.01%, [85.47%, 91.76%], 340 / 382 attacks; 0% resist: 100.00%, [91.62%, 100.00%], 42 / 42 hits; 25% resist:  0.00%, [ 0.00%,  8.38%], 0 / 42 hits; 50% resist:  0.00%, [ 0.00%,  8.38%], 0 / 42 hits; 75% resist:  0.00%, [ 0.00%,  8.38%], 0 / 42 hits"
Fireball,18,30,23,27,7,1,441,58,"Hits: 11.62%, [ 9.10%, 14.73%], 58 / 499 attacks; Misses: 88.38%, [85.27%, 90.90%], 441 / 499 attacks; 0% resist: 39.66%, [28.09%, 52.51%], 23 / 58 hits; 25% resist: 46.55%, [34.33%, 59.20%], 27 / 58 hits; 50% resist: 12.07%, [ 5.97%, 22.88%], 7 / 58 hits; 75% resist:  1.72%, [ 0.30%,  9.14%], 1 / 58 hits"
Fireball,18,63,0,20,42,16,596,78,"Hits: 11.57%, [ 9.37%, 14.21%], 78 / 674 attacks; Misses: 88.43%, [85.79%, 90.63%], 596 / 674 attacks; 0% resist:  0.00%, [ 0.00%,  4.69%], 0 / 78 hits; 25% resist: 25.64%, [17.26%, 36.31%], 20 / 78 hits; 50% resist: 53.85%, [42.86%, 64.47%], 42 / 78 hits; 75% resist: 20.51%, [13.04%, 30.75%], 16 / 78 hits"
Fireball,18,64,4,24,46,20,915,94,"Hits:  9.32%, [ 7.67%, 11.27%], 94 / 1009 attacks; Misses: 90.68%, [88.73%, 92.33%], 915 / 1009 attacks; 0% resist:  4.26%, [ 1.67%, 10.44%], 4 / 94 hits; 25% resist: 25.53%, [17.80%, 35.19%], 24 / 94 hits; 50% resist: 48.94%, [39.07%, 58.88%], 46 / 94 hits; 75% resist: 21.28%, [14.22%, 30.59%], 20 / 94 hits"
Fireball,18,66,1,7,27,11,506,46,"Hits:  8.33%, [ 6.31%, 10.94%], 46 / 552 attacks; Misses: 91.67%, [89.06%, 93.69%], 506 / 552 attacks; 0% resist:  2.17%, [ 0.38%, 11.34%], 1 / 46 hits; 25% resist: 15.22%, [ 7.57%, 28.22%], 7 / 46 hits; 50% resist: 58.70%, [44.34%, 71.71%], 27 / 46 hits; 75% resist: 23.91%, [13.91%, 37.94%], 11 / 46 hits"
Fireball,18,67,0,41,102,50,1639,193,"Hits: 10.53%, [ 9.21%, 12.02%], 193 / 1832 attacks; Misses: 89.47%, [87.98%, 90.79%], 1639 / 1832 attacks; 0% resist:  0.00%, [ 0.00%,  1.95%], 0 / 193 hits; 25% resist: 21.24%, [16.06%, 27.55%], 41 / 193 hits; 50% resist: 52.85%, [45.82%, 59.77%], 102 / 193 hits; 75% resist: 25.91%, [20.24%, 32.52%], 50 / 193 hits"
Fireball,18,68,0,53,141,70,2336,264,"Hits: 10.15%, [ 9.05%, 11.37%], 264 / 2600 attacks; Misses: 89.85%, [88.63%, 90.95%], 2336 / 2600 attacks; 0% resist:  0.00%, [ 0.00%,  1.43%], 0 / 264 hits; 25% resist: 20.08%, [15.69%, 25.32%], 53 / 264 hits; 50% resist: 53.41%, [47.39%, 59.33%], 141 / 264 hits; 75% resist: 26.52%, [21.55%, 32.15%], 70 / 264 hits"
Fireball,18,90,0,0,7,7,106,14,"Hits: 11.67%, [ 7.08%, 18.63%], 14 / 120 attacks; Misses: 88.33%, [81.37%, 92.92%], 106 / 120 attacks; 0% resist:  0.00%, [ 0.00%, 21.53%], 0 / 14 hits; 25% resist:  0.00%, [ 0.00%, 21.53%], 0 / 14 hits; 50% resist: 50.00%, [26.80%, 73.20%], 7 / 14 hits; 75% resist: 50.00%, [26.80%, 73.20%], 7 / 14 hits"
Fireball,18,98,0,5,23,113,1452,141,"Hits:  8.85%, [ 7.55%, 10.35%], 141 / 1593 attacks; Misses: 91.15%, [89.65%, 92.45%], 1452 / 1593 attacks; 0% resist:  0.00%, [ 0.00%,  2.65%], 0 / 141 hits; 25% resist:  3.55%, [ 1.52%,  8.03%], 5 / 141 hits; 50% resist: 16.31%, [11.12%, 23.29%], 23 / 141 hits; 75% resist: 80.14%, [72.80%, 85.89%], 113 / 141 hits"
Fireball,18,120,0,1,4,22,229,27,"Hits: 10.55%, [ 7.35%, 14.91%], 27 / 256 attacks; Misses: 89.45%, [85.09%, 92.65%], 229 / 256 attacks; 0% resist:  0.00%, [ 0.00%, 12.46%], 0 / 27 hits; 25% resist:  3.70%, [ 0.66%, 18.28%], 1 / 27 hits; 50% resist: 14.81%, [ 5.92%, 32.48%], 4 / 27 hits; 75% resist: 81.48%, [63.30%, 91.82%], 22 / 27 hits"
Fireball,26,143,0,0,1,2,45,3,"Hits:  6.25%, [ 2.15%, 16.84%], 3 / 48 attacks; Misses: 93.75%, [83.16%, 97.85%], 45 / 48 attacks; 0% resist:  0.00%, [ 0.00%, 56.15%], 0 / 3 hits; 25% resist:  0.00%, [ 0.00%, 56.15%], 0 / 3 hits; 50% resist: 33.33%, [ 6.15%, 79.23%], 1 / 3 hits; 75% resist: 66.67%, [20.77%, 93.85%], 2 / 3 hits"
Fireball,27,143,0,1,0,5,44,6,"Hits: 12.00%, [ 5.62%, 23.81%], 6 / 50 attacks; Misses: 88.00%, [76.19%, 94.38%], 44 / 50 attacks; 0% resist:  0.00%, [ 0.00%, 39.03%], 0 / 6 hits; 25% resist: 16.67%, [ 3.01%, 56.35%], 1 / 6 hits; 50% resist:  0.00%, [ 0.00%, 39.03%], 0 / 6 hits; 75% resist: 83.33%, [43.65%, 96.99%], 5 / 6 hits"
Immolate,23,76,0,0,7,2,93,9,"Hits:  8.82%, [ 4.71%, 15.92%], 9 / 102 attacks; Misses: 91.18%, [84.08%, 95.29%], 93 / 102 attacks; 0% resist:  0.00%, [ 0.00%, 29.92%], 0 / 9 hits; 25% resist:  0.00%, [ 0.00%, 29.92%], 0 / 9 hits; 50% resist: 77.78%, [45.26%, 93.68%], 7 / 9 hits; 75% resist: 22.22%, [ 6.32%, 54.74%], 2 / 9 hits"
Immolate,24,0,4,0,0,0,17,4,"Hits: 19.05%, [ 7.67%, 40.00%], 4 / 21 attacks; Misses: 80.95%, [60.00%, 92.33%], 17 / 21 attacks; 0% resist: 100.00%, [51.01%, 100.00%], 4 / 4 hits; 25% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 50% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 75% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits"
Immolate,24,40,0,1,0,0,32,1,"Hits:  3.03%, [ 0.54%, 15.32%], 1 / 33 attacks; Misses: 96.97%, [84.68%, 99.46%], 32 / 33 attacks; 0% resist:  0.00%, [ 0.00%, 79.35%], 0 / 1 hits; 25% resist: 100.00%, [20.65%, 100.00%], 1 / 1 hits; 50% resist:  0.00%, [ 0.00%, 79.35%], 0 / 1 hits; 75% resist:  0.00%, [ 0.00%, 79.35%], 0 / 1 hits"
Immolate,24,86,0,0,2,2,48,4,"Hits:  7.69%, [ 3.03%, 18.17%], 4 / 52 attacks; Misses: 92.31%, [81.83%, 96.97%], 48 / 52 attacks; 0% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 25% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 50% resist: 50.00%, [15.00%, 85.00%], 2 / 4 hits; 75% resist: 50.00%, [15.00%, 85.00%], 2 / 4 hits"
Melee,23,76,14,232,549,230,161,1025,"Hits: 86.42%, [84.36%, 88.26%], 1025 / 1186 attacks; Misses: 13.58%, [11.74%, 15.64%], 161 / 1186 attacks; 0% resist:  1.37%, [ 0.82%,  2.28%], 14 / 1025 hits; 25% resist: 22.63%, [20.18%, 25.30%], 232 / 1025 hits; 50% resist: 53.56%, [50.50%, 56.60%], 549 / 1025 hits; 75% resist: 22.44%, [19.99%, 25.09%], 230 / 1025 hits"
Melee,23,143,0,2,1,12,2,15,"Hits: 88.24%, [65.66%, 96.71%], 15 / 17 attacks; Misses: 11.76%, [ 3.29%, 34.34%], 2 / 17 attacks; 0% resist:  0.00%, [ 0.00%, 20.39%], 0 / 15 hits; 25% resist: 13.33%, [ 3.74%, 37.88%], 2 / 15 hits; 50% resist:  6.67%, [ 1.19%, 29.82%], 1 / 15 hits; 75% resist: 80.00%, [54.81%, 92.95%], 12 / 15 hits"
Melee,24,0,204,0,0,0,24,204,"Hits: 89.47%, [84.82%, 92.82%], 204 / 228 attacks; Misses: 10.53%, [ 7.18%, 15.18%], 24 / 228 attacks; 0% resist: 100.00%, [98.15%, 100.00%], 204 / 204 hits; 25% resist:  0.00%, [ 0.00%,  1.85%], 0 / 204 hits; 50% resist:  0.00%, [ 0.00%,  1.85%], 0 / 204 hits; 75% resist:  0.00%, [ 0.00%,  1.85%], 0 / 204 hits"
